Gene.symbol	ID	adj.P.Val	P.Value	t	B	logFC	Gene.title
PECR	223619_x_at	0.04996	0.00224329	3.6624966	-1.338761	1.55328256	peroxisomal trans-2-enoyl-CoA reductase
S100P	204351_at	0.04991	0.00224002	3.6632016	-1.337409	2.07055895	S100 calcium binding protein P
	236697_at	0.04991	0.00223859	3.6635098	-1.336818	1.90581613	
GFM1	225153_at	0.04991	0.00223999	-3.6632069	-1.337399	-1.28975487	G elongation factor mitochondrial 1
CCNB1	228729_at	0.04991	0.00223974	-3.6632612	-1.337295	-1.37325776	cyclin B1
DYRK3	210151_s_at	0.04991	0.002239	-3.6634203	-1.33699	-1.4016654	dual specificity tyrosine phosphorylation regulated kinase 3
PKMYT1	204267_x_at	0.04985	0.00223293	-3.6647324	-1.334475	-1.51555719	"protein kinase, membrane associated tyrosine/threonine 1"
LYN	202625_at	0.04982	0.00223051	3.6652584	-1.333466	1.23441718	"LYN proto-oncogene, Src family tyrosine kinase"
OSM	230170_at	0.04979	0.00222853	3.6656861	-1.332646	2.05630662	oncostatin M
LDAH	222192_s_at	0.04976	0.00222591	-3.6662557	-1.331554	-1.37474992	lipid droplet associated hydrolase
BID	227143_s_at	0.04975	0.00222466	3.6665271	-1.331034	1.24697696	BH3 interacting domain death agonist
TRIQK	225599_s_at	0.04974	0.00222153	3.6672071	-1.32973	1.72379345	triple QxxK/R motif containing
CLEC12B	231600_at	0.04974	0.00222303	3.6668804	-1.330356	1.60265734	C-type lectin domain family 12 member B
SYP	213200_at	0.04974	0.00222133	3.6672518	-1.329645	1.49451929	synaptophysin
WTAP	227621_at	0.04974	0.00221848	3.6678713	-1.328457	1.24433097	Wilms tumor 1 associated protein
DOLPP1	221817_at	0.04974	0.00222283	-3.6669257	-1.33027	-1.57908205	dolichyldiphosphatase 1
RFESD	236305_at	0.04974	0.00221923	-3.6677073	-1.328771	-1.7445609	Rieske Fe-S domain containing
TPSAB1	205683_x_at	0.04973	0.00221681	3.6682362	-1.327757	2.63865233	tryptase alpha/beta 1
	240580_at	0.04973	0.00221563	3.6684937	-1.327264	1.62881498	
MTMR3	202197_at	0.04973	0.00221396	3.6688586	-1.326564	1.0595971	myotubularin related protein 3
NOB1	223018_at	0.04973	0.00221208	-3.6692685	-1.325778	-1.16451822	NIN1/PSMD8 binding protein 1 homolog
EIF5A	201123_s_at	0.04973	0.00221674	-3.6682503	-1.32773	-1.66249834	eukaryotic translation initiation factor 5A
	243810_at	0.04973	0.00221374	-3.668906	-1.326473	-3.05310907	
IGKC	214777_at	0.04973	0.00221575	-3.6684677	-1.327313	-3.84776054	immunoglobulin kappa constant
	AFFX-DapX-3_at	0.04972	0.00220946	3.6698417	-1.324679	3.06153665	
SLC6A6	205920_at	0.04972	0.00220968	3.6697934	-1.324772	1.99254336	solute carrier family 6 member 6
PRB4	216881_x_at	0.04972	0.00220904	3.6699341	-1.324502	1.94398541	proline rich protein BstNI subfamily 4
FEZ2	202305_s_at	0.04969	0.00220559	3.6706883	-1.323056	1.14510819	fasciculation and elongation protein zeta 2
LINC01102	230495_at	0.04966	0.00220335	3.6711811	-1.322112	2.44569744	long intergenic non-protein coding RNA 1102
SUMF2	225002_s_at	0.04962	0.00220078	-3.6717439	-1.321033	-1.09989323	sulfatase modifying factor 2
KLHL24	206551_x_at	0.04961	0.00219926	3.6720793	-1.32039	1.14683226	kelch like family member 24
OPTN	202074_s_at	0.04958	0.00219715	-3.6725424	-1.319502	-1.66130083	optineurin
SMARCAL1	218452_at	0.04951	0.00219307	-3.6734416	-1.317778	-2.17370065	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1"
STXBP5-AS1	1557891_s_at	0.04948	0.0021891	3.6743165	-1.316101	1.93998948	STXBP5 antisense RNA 1
PREX1	224909_s_at	0.04948	0.00219036	3.674039	-1.316633	1.50229073	"phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1"
GANAB	211934_x_at	0.04948	0.00219087	-3.6739265	-1.316848	-1.00861177	glucosidase II alpha subunit
ZNF609	212618_at	0.04948	0.00219	-3.6741174	-1.316483	-1.45787507	zinc finger protein 609
MAFG	224466_s_at	0.04946	0.00218479	3.6752689	-1.314275	1.67023551	MAF bZIP transcription factor G
ACTR2	1558015_s_at	0.04946	0.00218551	3.6751093	-1.314581	1.00977069	ARP2 actin related protein 2 homolog
HIBADH	224812_at	0.04946	0.00218665	-3.6748574	-1.315064	-1.17194012	3-hydroxyisobutyrate dehydrogenase
LSM5	211747_s_at	0.04946	0.0021865	-3.6748924	-1.314997	-1.25565175	"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
NAP1L5	228063_s_at	0.04946	0.00218622	-3.6749534	-1.31488	-2.18968249	nucleosome assembly protein 1 like 5
MIR7113///MIR4691///NDUFS8	203189_s_at	0.04935	0.00217699	-3.6769998	-1.310957	-1.24107913	microRNA 7113///microRNA 4691///NADH:ubiquinone oxidoreductase core subunit S8
FANCG	203564_at	0.04928	0.00217292	-3.6779023	-1.309226	-1.18523255	Fanconi anemia complementation group G
ACHE	205378_s_at	0.04928	0.00217202	-3.6781034	-1.308841	-2.25808701	acetylcholinesterase (Cartwright blood group)
MAPK8IP1	213014_at	0.04926	0.00217056	3.6784291	-1.308217	1.8759646	mitogen-activated protein kinase 8 interacting protein 1
MCM4	222036_s_at	0.04925	0.00216897	-3.6787839	-1.307537	-1.45646629	minichromosome maintenance complex component 4
	240271_at	0.04923	0.00216719	3.6791796	-1.306778	1.43562964	
GAS7	202192_s_at	0.04922	0.00216593	3.6794614	-1.306238	1.32649712	growth arrest specific 7
SSFA2	236207_at	0.04922	0.00216487	3.6796972	-1.305786	1.07100842	sperm specific antigen 2
CDK6	224851_at	0.04922	0.0021656	-3.6795359	-1.306095	-2.3303877	cyclin dependent kinase 6
RIT1	243463_s_at	0.0492	0.00216231	3.6802692	-1.304689	1.59922354	Ras like without CAAX 1
SQRDL	217995_at	0.04909	0.00215656	3.6815577	-1.302219	1.27580186	sulfide quinone reductase-like (yeast)
NT5DC2	218051_s_at	0.04907	0.0021549	-3.6819299	-1.301505	-3.01430237	5'-nucleotidase domain containing 2
	AFFX-r2-Bs-dap-M_at	0.04904	0.0021527	3.6824242	-1.300558	3.15806592	
SDF2	203090_at	0.04899	0.00214947	3.6831489	-1.299169	1.08979745	stromal cell derived factor 2
	1562727_at	0.04897	0.00214787	3.6835087	-1.298479	1.42347013	
DBP	209782_s_at	0.04895	0.00214471	3.684222	-1.297112	1.59091107	D-box binding PAR bZIP transcription factor
SAAL1	225614_at	0.04895	0.00214552	-3.6840389	-1.297463	-1.14788144	serum amyloid A like 1
	243872_at	0.04894	0.00214272	3.68467	-1.296253	1.32589467	
APRT	203219_s_at	0.04894	0.0021426	-3.6846962	-1.296202	-1.50069176	adenine phosphoribosyltransferase
